label,quality_estimate,total_videos,evaluation_videos,balanced_train_videos,unbalanced_train_videos,evaluation_hours,balanced_train_hours,unbalanced_train_hours
Music,100.0,1011305,5695,6244,999366,2801.8,15.8,17.3
Speech,100.0,1010480,5324,5735,999421,2793.5,14.7,15.9
Vehicle,100.0,128051,780,860,126411,354.2,2.2,2.4
Musical instrument,100.0,117343,406,532,116405,325.9,1.1,1.5
Plucked string instrument,100.0,44565,254,302,44009,123.8,0.7,0.8
Singing,100.0,42493,362,517,41614,118.0,1.0,1.4
Car,100.0,41554,280,296,40978,114.9,0.8,0.8
Animal,100.0,40758,698,734,39326,112.6,1.9,2.0
"Outside, rural or natural",100.0,35731,185,255,35291,99.1,0.5,0.7
"Violin, fiddle",100.0,28125,60,64,28001,78.1,0.2,0.2
Bird,100.0,26894,208,172,26514,74.6,0.6,0.5
Drum,100.0,20246,197,189,19860,56.2,0.5,0.5
Engine,100.0,16245,189,186,15870,45.0,0.5,0.5
"Narration, monologue",100.0,15590,60,60,15470,43.3,0.2,0.2
Drum kit,100.0,15169,82,94,14993,42.1,0.2,0.3
Acoustic guitar,100.0,14568,92,60,14416,40.5,0.3,0.2
Dog,100.0,13705,230,273,13202,37.9,0.6,0.8
"Child speech, kid speaking",100.0,11816,211,154,11451,32.8,0.6,0.4
Bass drum,100.0,9292,89,87,9116,25.8,0.2,0.2
Rail transport,100.0,9052,172,189,8691,25.1,0.5,0.5
Motor vehicle (road),100.0,9044,90,63,8891,25.0,0.2,0.2
Water,100.0,8994,294,286,8414,24.9,0.8,0.8
"Female speech, woman speaking",100.0,8513,75,60,8378,23.6,0.2,0.2
Siren,100.0,8498,212,207,8079,23.5,0.6,0.6
"Railroad car, train wagon",100.0,8361,166,183,8012,23.2,0.5,0.5
Tools,100.0,8107,100,101,7906,22.5,0.3,0.3
Silence,100.0,7662,59,60,7543,21.2,0.2,0.2
Snare drum,100.0,6842,82,93,6667,19.0,0.2,0.3
Wind,100.0,6805,183,168,6454,18.9,0.5,0.5
"Bird vocalization, bird call, bird song",100.0,6372,169,128,6075,17.7,0.5,0.4
Fowl,100.0,6248,213,202,5833,17.3,0.6,0.6
